date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2023-01-10,ZA12JTFM,ST8000DM002,8001563222016,0,232385792.0,8.0,0.0,3862507622.0,56499.0,8.0,0.0,0.0,26.0,16660.0,2.0,28033.0,26.0,232385792.0,0.0,0.0,0.0,56432.0,104313194144.0,439790637668.0
2023-01-10,ZA12JTFN,ST8000DM002,8001563222016,0,144184768.0,33.0,0.0,3485323378.0,56689.0,33.0,0.0,0.0,45.0,41205.0,13.0,63714.0,45.0,144184768.0,0.0,0.0,0.0,56621.0,105848783144.0,459184893644.0
2023-01-10,ZA12JTFP,ST8000DM002,8001563222016,0,221396672.0,8.0,0.0,3694737768.0,56490.0,8.0,0.0,0.0,37.0,44642.0,4.0,25888.0,37.0,221396672.0,0.0,0.0,0.0,56425.0,100840096096.0,469355666444.0
2023-01-10,ZA12JTFQ,ST8000DM002,8001563222016,0,78240768.0,8.0,0.0,4009889261.0,56484.0,8.0,0.0,0.0,28.0,34814.0,3.0,26616.0,28.0,78240768.0,0.0,0.0,0.0,56419.0,101996593504.0,463869346716.0
2023-01-10,ZA12JTFR,ST8000DM002,8001563222016,0,159377696.0,8.0,0.0,3996179088.0,56485.0,8.0,0.0,0.0,29.0,13448.0,4.0,26553.0,29.0,159377696.0,0.0,0.0,0.0,56419.0,101729984720.0,481295973724.0
2023-01-10,ZA12JTFT,ST8000DM002,8001563222016,0,158733248.0,9.0,8.0,3587750019.0,56441.0,9.0,0.0,0.0,32.0,19909.0,8.0,21829.0,32.0,158733248.0,0.0,0.0,0.0,56378.0,104912574824.0,457699933032.0
2023-01-10,ZA12JTFV,ST8000DM002,8001563222016,0,109024936.0,33.0,0.0,2927050387.0,56684.0,33.0,0.0,0.0,36.0,31996.0,13.0,65482.0,36.0,109024936.0,0.0,0.0,0.0,56616.0,105893828112.0,432747165604.0
2023-01-10,ZA12JTFW,ST8000DM002,8001563222016,0,151673344.0,8.0,0.0,3899673788.0,56484.0,8.0,0.0,0.0,28.0,25693.0,4.0,25858.0,28.0,151673344.0,0.0,0.0,0.0,56419.0,100902464584.0,489459682596.0
2023-01-10,ZA12JTFX,ST8000DM002,8001563222016,0,168731960.0,9.0,0.0,2744706656.0,55037.0,9.0,0.0,0.0,33.0,10891.0,5.0,63647.0,33.0,168731960.0,0.0,0.0,0.0,54989.0,103468228368.0,403786316196.0
2023-01-10,ZA12JTFY,ST8000DM002,8001563222016,0,43342848.0,39.0,0.0,4118830778.0,56495.0,38.0,0.0,0.0,28.0,21274.0,24.0,29492.0,28.0,43342848.0,0.0,0.0,0.0,56420.0,101764530912.0,461808061868.0
2023-01-10,ZA12JTFZ,ST8000DM002,8001563222016,0,114824608.0,8.0,0.0,4253029136.0,56490.0,8.0,0.0,0.0,36.0,16055.0,3.0,26073.0,36.0,114824608.0,0.0,0.0,0.0,56425.0,102176135992.0,477781212660.0
