date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_190_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized
2023-01-10,ZJV36SAV,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,84.0,67.0,100.0,62.0,100.0,38.0,82.0
2023-01-01,ZJV3732Q,ST12000NM0007,12000138625024,0,83.0,90.0,100.0,87.0,68.0,100.0,68.0,100.0,32.0,83.0
2023-01-02,ZJV3732Q,ST12000NM0007,12000138625024,0,77.0,90.0,100.0,87.0,68.0,100.0,67.0,100.0,33.0,77.0
2023-01-03,ZJV3732Q,ST12000NM0007,12000138625024,0,72.0,90.0,100.0,87.0,68.0,100.0,68.0,100.0,32.0,72.0
2023-01-04,ZJV3732Q,ST12000NM0007,12000138625024,0,84.0,90.0,100.0,87.0,68.0,100.0,67.0,100.0,33.0,84.0
2023-01-05,ZJV3732Q,ST12000NM0007,12000138625024,0,83.0,90.0,100.0,87.0,68.0,100.0,68.0,100.0,32.0,83.0
2023-01-06,ZJV3732Q,ST12000NM0007,12000138625024,0,82.0,90.0,100.0,87.0,67.0,100.0,67.0,100.0,33.0,82.0
2023-01-07,ZJV3732Q,ST12000NM0007,12000138625024,0,81.0,90.0,100.0,87.0,67.0,100.0,67.0,100.0,33.0,81.0
2023-01-08,ZJV3732Q,ST12000NM0007,12000138625024,0,83.0,90.0,100.0,87.0,67.0,100.0,68.0,100.0,32.0,83.0
2023-01-09,ZJV3732Q,ST12000NM0007,12000138625024,0,81.0,90.0,100.0,87.0,67.0,100.0,67.0,100.0,33.0,81.0
2023-01-10,ZJV3732Q,ST12000NM0007,12000138625024,0,79.0,90.0,100.0,87.0,67.0,100.0,68.0,100.0,32.0,79.0
2023-01-01,ZJV3745Z,ST12000NM0007,12000138625024,0,78.0,90.0,100.0,87.0,68.0,100.0,62.0,100.0,38.0,78.0
2023-01-02,ZJV3745Z,ST12000NM0007,12000138625024,0,78.0,90.0,100.0,87.0,68.0,100.0,63.0,100.0,37.0,78.0
2023-01-03,ZJV3745Z,ST12000NM0007,12000138625024,0,76.0,90.0,100.0,87.0,68.0,100.0,62.0,100.0,38.0,76.0
