date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2023-01-10,ZJV11VD7,ST12000NM0007,12000138625024,0,15347008.0,7.0,0.0,523848578.0,29021.0,7.0,0.0,0.0,36.0,391.0,1602.0,36.0,15347008.0,0.0,0.0,0.0,28789.0,97281928232.0,428124545968.0
2023-01-10,ZJV12ZV8,ST12000NM0007,12000138625024,0,170677488.0,4.0,8.0,974352513.0,25159.0,4.0,0.0,0.0,31.0,309.0,1070.0,31.0,170677488.0,0.0,0.0,0.0,25042.0,80931596184.0,299122741368.0
2023-01-10,ZJV16DX5,ST12000NM0007,12000138625024,0,73719208.0,24.0,0.0,534744827.0,28989.0,24.0,0.0,0.0,45.0,395.0,1617.0,45.0,73719208.0,0.0,0.0,0.0,28740.0,95505190768.0,437528131214.0
2023-01-10,ZJV16QF8,ST12000NM0007,12000138625024,0,154592472.0,38.0,0.0,260702518.0,22858.0,39.0,0.0,0.0,29.0,346.0,1038.0,29.0,154592472.0,0.0,0.0,0.0,22736.0,69338841928.0,298004216862.0
2023-01-10,ZJV19Q8F,ST12000NM0007,12000138625024,0,82300432.0,20.0,8.0,510636006.0,29009.0,20.0,0.0,0.0,35.0,324.0,1575.0,35.0,82300432.0,0.0,0.0,0.0,28753.0,95163581312.0,444226006014.0
2023-01-10,ZJV1BSWW,ST12000NM0007,12000138625024,0,80130752.0,4.0,8.0,505294867.0,24824.0,4.0,0.0,0.0,24.0,237.0,1142.0,24.0,80130752.0,0.0,0.0,0.0,24692.0,92915566512.0,325622723380.0
2023-01-10,ZJV1DSNW,ST12000NM0007,12000138625024,0,181885976.0,21.0,432.0,363192300.0,29011.0,21.0,3.0,0.0,23.0,405.0,1913.0,23.0,181885976.0,0.0,0.0,0.0,28722.0,96335921248.0,409949971243.0
2023-01-10,ZJV1KPDZ,ST12000NM0007,12000138625024,0,76031168.0,21.0,0.0,181481786.0,29016.0,21.0,0.0,0.0,28.0,393.0,1937.0,28.0,76031168.0,0.0,0.0,0.0,28721.0,96127717208.0,359271131796.0
2023-01-10,ZJV1KTNB,ST12000NM0007,12000138625024,0,89851392.0,3.0,0.0,214734540.0,22331.0,3.0,0.0,0.0,34.0,315.0,1018.0,34.0,89851392.0,0.0,0.0,0.0,22209.0,62516718488.0,262281243440.0
2023-01-10,ZJV1L4EG,ST12000NM0007,12000138625024,0,95643072.0,3.0,0.0,144778701.0,25017.0,3.0,0.0,0.0,29.0,347.0,1066.0,29.0,95643072.0,0.0,0.0,0.0,24894.0,80419465016.0,323241725438.0
2023-01-10,ZJV1PLDD,ST12000NM0007,12000138625024,0,29701176.0,7.0,8.0,582005575.0,27509.0,7.0,0.0,0.0,23.0,362.0,1174.0,23.0,29701176.0,0.0,0.0,0.0,27370.0,94137711240.0,348275966234.0
2023-01-10,ZJV1SDF9,ST12000NM0007,12000138625024,0,242137248.0,49.0,0.0,620606126.0,29014.0,49.0,0.0,0.0,25.0,373.0,2191.0,25.0,242137248.0,0.0,0.0,0.0,28683.0,97152286656.0,372084541830.0
2023-01-10,ZJV1T5R6,ST12000NM0007,12000138625024,0,9153560.0,16.0,0.0,458117579.0,28997.0,16.0,0.0,0.0,28.0,362.0,1783.0,28.0,9153560.0,0.0,0.0,0.0,28748.0,95072203808.0,427154332956.0
2023-01-10,ZJV1ZPGP,ST12000NM0007,12000138625024,0,7149208.0,24.0,0.0,482569003.0,28988.0,24.0,0.0,0.0,39.0,392.0,1574.0,39.0,7149208.0,0.0,0.0,0.0,28750.0,96214525232.0,459701394958.0
2023-01-10,ZJV228XC,ST12000NM0007,12000138625024,0,18213992.0,3.0,0.0,684940851.0,30001.0,3.0,0.0,0.0,22.0,360.0,1354.0,22.0,18213992.0,0.0,0.0,0.0,29838.0,92920128256.0,303583127730.0
2023-01-10,ZJV2364Z,ST12000NM0007,12000138625024,0,132630032.0,4.0,0.0,91004560.0,11335.0,4.0,0.0,4295032833.0,19.0,167.0,2604.0,19.0,132630032.0,0.0,0.0,0.0,10256.0,41106127992.0,90862674440.0
2023-01-10,ZJV26092,ST12000NM0007,12000138625024,0,236588200.0,47.0,3197.0,286439133.0,29016.0,47.0,0.0,0.0,34.0,401.0,1564.0,34.0,236588200.0,0.0,0.0,0.0,28787.0,95289574432.0,377115415392.0
2023-01-10,ZJV274FY,ST12000NM0007,12000138625024,0,42220552.0,16.0,0.0,349528716.0,28993.0,16.0,0.0,0.0,25.0,393.0,1706.0,25.0,42220552.0,0.0,0.0,0.0,28754.0,95714227328.0,404816792346.0
2023-01-10,ZJV2CM26,ST12000NM0007,12000138625024,0,150499904.0,12.0,8.0,385129599.0,22169.0,12.0,0.0,0.0,32.0,362.0,1159.0,32.0,150499904.0,0.0,0.0,0.0,22022.0,64748879760.0,334328384676.0
2023-01-10,ZJV2DSMD,ST12000NM0007,12000138625024,0,235525040.0,3.0,0.0,199399842.0,11641.0,3.0,0.0,0.0,33.0,233.0,499.0,33.0,235525040.0,0.0,0.0,0.0,11577.0,43382563376.0,149480451638.0
2023-01-10,ZJV2DYA2,ST12000NM0007,12000138625024,0,126897464.0,9.0,0.0,736323015.0,20780.0,9.0,0.0,0.0,34.0,342.0,896.0,34.0,126897464.0,0.0,0.0,0.0,20671.0,60933316864.0,311264780482.0
2023-01-10,ZJV2DYDR,ST12000NM0007,12000138625024,0,151442184.0,2.0,0.0,944555380.0,11140.0,2.0,0.0,0.0,27.0,148.0,2437.0,27.0,151442184.0,0.0,0.0,0.0,10092.0,40768668456.0,88045257893.0
2023-01-10,ZJV2DYQQ,ST12000NM0007,12000138625024,0,9081264.0,2.0,0.0,216368727.0,11567.0,2.0,0.0,0.0,41.0,206.0,507.0,41.0,9081264.0,0.0,0.0,0.0,11508.0,41103465336.0,111249940392.0
2023-01-10,ZJV2DZD4,ST12000NM0007,12000138625024,0,204717416.0,3.0,0.0,477615210.0,10989.0,3.0,0.0,0.0,39.0,139.0,2494.0,39.0,204717416.0,0.0,0.0,0.0,9934.0,53036513368.0,101709556440.0
2023-01-10,ZJV2DZLK,ST12000NM0007,12000138625024,0,100660056.0,6.0,0.0,189293958.0,11749.0,6.0,0.0,0.0,26.0,176.0,2503.0,26.0,100660056.0,0.0,0.0,0.0,10691.0,42447131672.0,259168085474.0
2023-01-10,ZJV2E0LD,ST12000NM0007,12000138625024,0,48257168.0,13.0,0.0,48602556.0,22735.0,12.0,0.0,0.0,22.0,327.0,994.0,22.0,48257168.0,0.0,0.0,0.0,22619.0,79321598296.0,298169039334.0
2023-01-10,ZJV2E0NR,ST12000NM0007,12000138625024,0,113724264.0,48.0,0.0,25860368.0,11303.0,49.0,0.0,0.0,37.0,263.0,791.0,37.0,113724264.0,0.0,0.0,0.0,11191.0,41019158904.0,162708606554.0
2023-01-10,ZJV2E0VS,ST12000NM0007,12000138625024,0,148505096.0,16.0,0.0,229242160.0,13043.0,16.0,0.0,0.0,36.0,257.0,724.0,36.0,148505096.0,0.0,0.0,0.0,12948.0,43880795216.0,165008745894.0
2023-01-10,ZJV2E0VX,ST12000NM0007,12000138625024,0,30955976.0,5.0,0.0,81277248.0,11200.0,5.0,0.0,0.0,29.0,153.0,2480.0,29.0,30955976.0,0.0,0.0,0.0,10144.0,40973398656.0,221509360623.0
